visaID,visaType,visaName,link_crawl
visa1.1,visa1,Electronic Travel Authority (subclass 601),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/electronic-travel-authority-601
visa1.2,visa1,eVisitor (subclass 651),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/evisitor-651
visa1.3,visa1,Transit visa (subclass 771),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/transit-771
visa1.4.1,visa1.4,Tourist stream (apply outside Australia),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/visitor-600/tourist-stream-overseas
visa1.4.2,visa1.4,Tourist stream (apply in Australia),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/visitor-600/tourist-stream-onshore
visa1.4.3,visa1.4,Business visitor stream,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/visitor-600/business-visitor-stream
visa1.4.4,visa1.4,Approved Destination Status stream,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/visitor-600/approved-destination-stream
visa1.4.5,visa1.4,Frequent traveller stream,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/visitor-600/frequent-traveller-stream
visa1.4.6,visa1.4,Sponsored family stream,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/visitor-600/sponsored-family-stream
visa1.5.1,visa1.5,First Work and Holiday visa,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/work-holiday-462/first-work-holiday-462
visa1.5.2,visa1.5,Second Work and Holiday visa,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/work-holiday-462/second-work-holiday-462
visa1.5.3,visa1.5,Third Work and Holiday visa,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/work-holiday-462/third-work-and-holiday-462
visa1.6.1,visa1.6,First Working Holiday visa,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/work-holiday-417/first-working-holiday-417
visa1.6.2,visa1.6,Second Working Holiday visa,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/work-holiday-417/second-working-holiday-417
visa1.6.3,visa1.6,Third Working Holiday visa,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/work-holiday-417/third-working-holiday-417
visa2.1,visa2,Student visa (subclass 500),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/student-500
visa2.2,visa2,Student Guardian visa (subclass 590),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/student-590
visa2.3,visa2,Training visa (subclass 407),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/training-407
visa3.1,visa3,Adoption visa (subclass 102),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/adoption-102
visa3.2,visa3,Aged Dependent Relative visa (subclass 114),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/aged-dependent-relative-114
visa3.3,visa3,Aged Dependent Relative visa (subclass 838),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/aged-dependent-relative-838
visa3.4,visa3,Aged Parent visa (subclass 804),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/aged-parent-804
visa3.5,visa3,Carer visa (subclass 836),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/carer-836
visa3.6,visa3,Carer visa (subclass 116),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/carer-116
visa3.7,visa3,Child visa (subclass 101),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/child-101
visa3.8,visa3,Child visa (subclass 802),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/child-802
visa3.9,visa3,Contributory Aged Parent (Temporary) visa (subclass 884),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/contributory-aged-parent-temporary-884
visa3.10,visa3,Contributory Aged Parent visa (subclass 864),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/contributory-aged-parent-864
visa3.11,visa3,Contributory Parent (Temporary) visa (subclass 173),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/contributory-parent-temporary-173
visa3.12,visa3,Contributory Parent visa (subclass 143),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/contributory-parent-143
visa3.13,visa3,Dependent Child visa (subclass 445),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/dependent-child-445
visa3.14,visa3,New Zealand Citizen Family Relationship (temporary) visa (subclass 461),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/new-zealand-citizen-family-relationship-temporary-461
visa3.15,visa3,Orphan Relative (subclass 117),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/orphan-relative-117
visa3.16,visa3,Orphan Relative (subclass 837),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/orphan-relative-837
visa3.17,visa3,Parent visa (subclass 103),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/parent-103
visa3.18.1,visa3.18,Partner (Provisional) visa,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/partner-offshore/provisional-309
visa3.18.2,visa3.18,Partner (Migrant) visa,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/partner-offshore/migrant-100
visa3.19.1,visa3.19,Partner visa (Temporary),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/partner-onshore/temporary-820
visa3.19.2,visa3.19,Partner visa (Permanent),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/partner-onshore/permanent-801
visa3.20,visa3,Prospective Marriage visa (subclass 300),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/prospective-marriage-300
visa3.21,visa3,Remaining Relative visa (subclass 115),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/remaining-relative-115
visa3.22,visa3,Remaining Relative visa (subclass 835),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/remaining-relative-835
visa3.23,visa3,Sponsored Parent (Temporary) visa (subclass 870),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/sponsored-parent-temporary-870
