visaID,visaType,visaName,link_crawl
visa7.1,visa7,Temporary Graduate (Replacement stream) visa (subclass 485),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/temporary-graduate-replacement-stream-visa-subclass-485
visa7.2,visa7,Skilled-Recognised Graduate visa (subclass 476),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/skilled-recognised-graduate-visa-subclass-476
visa7.3,visa7,Business (Short Stay) visa (subclass 456),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/business-short-stay-visa-subclass-456
visa7.4,visa7,Business Skills (Provisional) visa (subclass 160 and 165),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/business-skills-provisional-visas-subclasses-160-165
visa7.5.1,visa7.5,Significant Business History stream,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/business-talent-permanent-132/significant-business-history-stream#About
visa7.5.2,visa7.5,Venture Capital Entrepreneur stream,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/business-talent-permanent-132/venture-capital-entrepreneur-stream#About
visa7.6,visa7,Distinguished Talent visa (subclass 124),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/distinguished-talent-124#About
visa7.7,visa7,Domestic Worker (Temporary) Diplomatic and Consular visa (subclass 426),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/domestic-worker-temporary-diplomatic-consular-426
visa7.8,visa7,Domestic Worker (Temporary) Executive visa (subclass 427),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/domestic-worker-(temporary-executive-visa)-(subclass-427)
visa7.9,visa7,Electronic Travel Authority (Business Entrant) visa (subclass 956 and 977),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/electronic-travel-authority-business-entrant-subclass-956-and-977
visa7.10,visa7,Electronic Travel Authority (Visitor) visa (subclass 976),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/electronic-travel-authority-visitor-subclass-976
visa7.11,visa7,Employer Nomination Scheme (subclass 121 and 856),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/employer-nomination-scheme-121
visa7.12,visa7,Established Business in Australia visa (subclass 845),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/established-business-in-australia-visa-subclass-845
visa7.13,visa7,Exchange visa (subclass 411),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/exchange-visa-subclass-411
visa7.14,visa7,Foreign Government Agency (subclass 415),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/foreign-government-agency-visa-subclass-415
visa7.15,visa7,Government Agreement visa (subclass 406),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/government-agreement-visa-subclass-406
visa7.16,visa7,Labour Agreement visa (subclass 120),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/labour-agreement-visa-(subclass-120)
visa7.17,visa7,Media and Film Staff visa (subclass 423),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/media-film-staff-423
visa7.18,visa7,Medical Practitioner visa (subclass 422),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/medical-practitioner-visa-subclass-422
visa7.19,visa7,Medical Treatment (Short Stay) visa (subclass 675),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/medical-treatment-short-stay-visa-subclass-675
visa7.20,visa7,Medical Treatment Long Stay visa (subclass 685),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/medical-treatment-long-stay-visa-subclass-685
visa7.21,visa7,Regional Sponsor Migration Scheme (subclass 119 and 857),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/regional-sponsored-migration-scheme-(subclasses-119-and-857)
visa7.22,visa7,Religious Worker visa (subclass 428),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/religious-worker-visa-subclass-428
visa7.23,visa7,Retirement visa (subclass 410),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/subclass-410
visa7.24,visa7,Skilled Designated Area Sponsored visa (subclass 496),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/skilled-designated-area-sponsored-visa-subclass-496
visa7.25,visa7,Skilled Independent Regional (Provisional) visa (subclass 495),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/skilled-independent-regional-provisional-visa-subclass-495
visa7.26,visa7,Skilled Independent visa (subclass 175),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/skilled-independent-subclass-175
